Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_ENERGY (mJ),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1733383326564,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417080177,12282,6306,73307,49,96,246991.86114501953,228545.5971069336,0,67221319680,8589930496,5309280256,0
200,1733383326764,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417093369,12282,6306,73409,49,97,247000.13677978516,228552.42559814453,0,67221319680,8589930496,5312278528,0
200,1733383326964,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,5,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3417106533,12282,6306,73387,49,96,247008.2857055664,228559.12060546875,0,67221319680,8589930496,5308997632,0
200,1733383327164,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417119701,12282,6306,73467,49,97,247016.5223388672,228565.8969116211,0,67221319680,8589930496,5307904000,0
200,1733383327365,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417132836,12282,6306,73466,49,96,247024.75860595703,228572.68786621094,0,67221319680,8589930496,5307187200,0
200,1733383327565,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417145979,12282,6306,73548,49,97,247033.02587890625,228579.50091552734,0,67221319680,8589930496,5305032704,0
200,1733383327765,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417159124,12282,6306,73523,49,96,247041.49389648438,228586.50518798828,0,67221319680,8589930496,5311471616,0
200,1733383327965,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,5,0,4.761904716491699,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,3417172218,12282,6306,73552,49,97,247049.91796875,228593.47259521484,0,67221319680,8589930496,5313339392,0
200,1733383328165,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417185340,12282,6306,73534,49,97,247058.18646240234,228600.28149414063,0,67221319680,8589930496,5316149248,0
200,1733383328365,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417198414,12282,6306,73515,49,96,247066.32189941406,228606.97729492188,0,67221319680,8589930496,5308624896,0
200,1733383328565,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417211536,12282,6306,73558,49,97,247074.48736572266,228613.68634033203,0,67221319680,8589930496,5307617280,0
200,1733383328765,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417224553,12282,6306,73480,49,96,247082.65649414063,228620.40502929688,0,67221319680,8589930496,5311397888,0
200,1733383328965,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417237632,12282,6306,73543,49,97,247090.94305419922,228627.2305908203,0,67221319680,8589930496,5312520192,0
200,1733383329165,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3417250720,12282,6306,73517,49,96,247099.10382080078,228633.93145751953,0,67221319680,8589930496,5310447616,0
199,1733383329366,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,30.000001907348633,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3417259474,12282,6306,69392,46,50,247103.65966796875,228637.0284423828,0,67221319680,8589930496,5301780480,0
200,1733383329566,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,30.000001907348633,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3417263593,12282,6306,60564,46,0,247105.85888671875,228637.80438232422,0,67221319680,8589930496,5310504960,0
12,1733383329766,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,2.5641026496887207,0,10.256410598754883,0,2.5641026496887207,0,0,0,0,4.878048419952393,2.5,2.4390242099761963,0,2.5641026496887207,0,2.4390242099761963,2.4390242099761963,2.5,2.5,2.5,5,2.5641026496887207,2.5,0,0,0,0,0,0,0,15.384615898132324,0,0,3417267726,12282,6306,51784,45,0,247108.49688720703,228638.9842529297,0,67221319680,8589930496,5303820288,0
